,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
307,C5,S.en,26.2022,,,52086.9476,68.2667,22063.0887,0.09293,II,0.713279977
308,C5,S.en,53.6051,,,34813.2952,65.2759,12023.4369,0.053825,II,0.497798705
309,1218,S.en,66.8352,,0.92956,631242.7526,57.2169,2746.2399,0.0087814,II,0.607149913
310,1218,S.en,92.5377,,0.69867,641225.4698,73.062,146448.5781,,II,0.781771987
311,1218,S.en,135.7316,,0.89421,1739264.8869,68.2667,22063.0887,0.09293,II,0.822617208
312,1298,S.en,110.6456,,0.79062,1804024.4031,82.4264,177582.6449,,II,0.758631084
313,1298,S.en,99.8822,,0.8765,861445.6915,82.8157,392885.5513,,II,0.703949528
314,1298,S.en,72.2858,,0.79303,987512.1688,103.159,342789.2236,,II,0.608700823
315,1219,S.en,78.8484,,0.80831,1063851.9458,71.3227,17066.6756,0.08596,II,0.0
316,1219,S.en,85.6394,,0.79024,927084.0733,97.9014,323987.8095,,II,0.775506635
317,1219,S.en,108.5523,,0.78906,1274417.0768,82.8157,392885.5513,,II,0.665448294
318,1167,S.en,107.2855,,0.89046,1048314.977,95.9692,297155.0753,,II,0.965316086
319,1167,S.en,67.9052,,0.9353,767452.0875,103.159,342789.2236,,II,0.984822933
320,1167,S.en,64.084,,0.92758,632739.9553,62.4745,224787.686,,II,0.963606152
321,1339,S.en,59.6199,,0.60337,954346.5641,64.1927,10724.4675,0.026245,II,0.853083624
322,1339,S.en,96.556,,0.73122,1430265.6322,88.208,386840.9901,,II,0.713399942
323,1339,S.en,91.8112,,0.70071,1143134.8983,103.159,342789.2236,,II,0.918402719
324,11285,E.co,31.0842,0.21657,0.78622,528838.313,21.4661,287187.6141,0.76464,II,0.874660346
325,11285,E.co,39.225,0.30016,0.66129,379635.0927,26.8891,327877.4666,0.7822,II,0.742071737
326,11285,E.co,46.2635,0.34717,0.76549,454995.2865,21.0451,316286.1405,0.80289,II,0.982452032
327,12048,E.co,85.4745,0.36667,0.74025,679653.6736,40.8594,124700.4569,0.50763,II,0.907132806
328,12048,E.co,99.2755,0.4762,0.53869,568060.3917,21.2543,304732.1539,0.80483,II,0.950635149
329,12048,E.co,71.0947,0.40328,0.72363,578243.7435,23.1542,340308.4354,0.81835,II,0.973211416
330,B8,E.co,60.5387,,,82300.4304,25.0612,371927.1613,0.81522,II,0.899599777
331,B8,E.co,34.7639,,,47677.8817,51.4117,59035.3301,0.24144,II,0.925684356
332,B8,E.co,51.6172,,,76915.2656,22.2385,287595.3711,0.76022,II,0.958886814
333,12701,E.co,31.7373,0.25887,0.81683,456508.7811,59.2209,21651.0293,0.084648,II,0.98374083
334,12701,E.co,38.5633,0.28417,0.81309,399610.1326,57.4364,19063.9202,0.072502,II,0.943736484
335,12701,E.co,74.8908,0.2743,0.61308,771683.1673,45.5854,86119.1755,0.3962,II,0.978034534
336,11457,E.co,41.9185,0.3351,0.72269,441256.0723,56.8339,24024.8846,0.079399,II,0.997245936
337,11457,E.co,45.5184,0.30239,0.78507,491611.4687,60.783,65178.7725,0.26097,II,0.964306613
338,11457,E.co,39.2359,0.2502,0.80535,500597.0395,25.0612,371927.1613,0.81522,II,0.960025
339,B18,E.co,225.1848,,,33706.1082,23.5268,336454.4572,0.80819,II,0.877181399
340,B18,E.co,31.7064,,,63791.7988,23.1691,289400.8757,0.75349,II,0.92257636
341,B18,E.co,17.153,,,67294.4537,57.4364,19063.9202,0.072502,II,0.976191011
342,B1,E.co,45.2098,,,66809.6532,38.4982,146937.8047,0.58944,II,0.851139012
343,B1,E.co,59.6351,,,86787.7537,26.2567,348890.9475,0.82606,II,0.876974824
344,B1,E.co,57.8646,,,70480.7358,24.1553,337255.1249,0.7974,II,0.886675445
345,12832,E.co,110.4073,0.61388,0.75514,830012.6268,24.5719,351089.3122,0.78545,II,0.911721876
346,12832,E.co,51.246,0.36537,0.7281,353082.6161,24.2982,340200.4849,0.78028,II,0.909963421
347,12832,E.co,49.2673,0.22095,0.78797,576836.2402,21.4977,296127.1345,0.77015,II,0.836331227
348,1273,E.co,59.696,,0.90243,708070.2493,23.1542,340308.4354,0.81835,II,0.953463363
349,1273,E.co,74.9124,,0.91748,806698.4627,25.0612,371927.1613,0.81522,II,0.959986771
350,1273,E.co,46.8727,,0.95543,700237.0213,19.9092,105858.1719,0.41813,II,0.961067805
351,12001,E.co,31.0312,0.23873,0.85251,440348.5311,23.5268,336454.4572,0.80819,II,0.989651351
352,12001,E.co,30.6938,0.26862,0.87256,462078.6654,56.8339,24024.8846,0.079399,II,0.94891531
353,12001,E.co,31.0078,0.21015,0.88252,460894.4923,24.7937,334167.4886,0.80318,II,0.969161981
354,1202,E.co,102.8115,,0.67602,751099.8667,19.9092,105858.1719,0.41813,II,0.762401064
355,1202,E.co,75.3804,,0.64174,643172.2524,50.8315,317042.3934,0.77369,II,0.796919181
356,1202,E.co,75.815,,0.75943,727857.2266,24.7937,334167.4886,0.80318,II,0.881859447
357,1234,E.co,74.1553,,0.89063,422371.2212,59.2209,21651.0293,0.084648,II,0.911242708
358,1234,E.co,60.4384,,0.91917,424166.5273,26.8891,327877.4666,0.7822,II,0.876863921
359,1234,E.co,61.7609,,0.91044,423707.6243,45.5854,86119.1755,0.3962,II,0.833014084
360,C5,E.co,74.6364,,,13411.8704,26.7826,317496.0698,0.79156,II,0.961636892
361,C5,E.co,177.5907,,0.70204,283878.9547,24.2982,340200.4849,0.78028,II,0.82640239
362,C5,E.co,42.9811,,,34333.6272,45.5854,86119.1755,0.3962,II,0.91115366
363,1218,E.co,58.0652,,0.93002,539621.6383,56.0736,75377.0036,0.31767,II,0.952146408
364,1218,E.co,92.5377,,0.69867,641225.4698,21.4977,296127.1345,0.77015,II,0.956961078
365,1218,E.co,58.0652,,0.93002,539621.6383,23.1542,340308.4354,0.81835,II,0.963413306
366,1298,E.co,102.9972,,0.75742,1169539.3356,19.9092,105858.1719,0.41813,II,0.965175741
367,1298,E.co,116.5413,,0.91447,1467928.2601,23.7006,329630.7246,0.77964,II,0.933890625
