Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Removed,Cross Mean (RMSE and MAE)
1298_x_S.au,combinatoric,LGBMRegressor,0.1041201565444527,0.16494273154173822,0.19691061915306077,0.39311962757993774,0.12894608099814608,0.5749174311963035,[0.90057186 0.89095306 0.89969275 ... 0.48901426 0.49257271 0.49257271],"[[0.75748653]
 [0.75748653]
 [0.75748653]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",1224,(-) B_Biofilm_Height,0.11653311877129939
1339_x_E.ce,combinatoric,LGBMRegressor,0.14974024339410416,0.13783013505927183,0.5738851301623663,0.7446194761766184,0.18839578744835114,0.5814895008814255,[0.57057854 0.57057854 0.57057854 ... 0.54923161 0.54120908 0.545606  ],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",1296,(-) B_Biofilm_Height,0.16906801542122765
1339_x_E.co,combinatoric,LGBMRegressor,0.08888173589641694,0.18980570300713578,0.463860090167177,0.7562104625577739,0.11143281935483072,0.8710809922548852,[0.36873975 0.36873975 0.36873975 ... 0.29497801 0.29171106 0.29171106],"[[0.31664838]
 [0.31664838]
 [0.39582572]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",1296,(-) B_Biofilm_Height,0.10015727762562383
1339_x_S.en,combinatoric,LGBMRegressor,0.14516017137062298,0.18738290439983593,0.4373121759247701,0.6132495307757891,0.17085102199399024,0.5748989736067689,[0.32254478 0.32254478 0.32254478 ... 0.32626706 0.32579657 0.32626706],"[[0.49677968]
 [0.49677968]
 [0.34892035]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",1296,(-) B_Biofilm_Height,0.15800559668230663
1339_x_S.au,combinatoric,LGBMRegressor,0.12130013601183424,0.22554921552107363,0.31041174355534035,0.7632385740731509,0.15284478279881086,0.6003637359034466,[0.9062176  0.91596925 0.90558866 ... 0.50247472 0.51606698 0.51606698],"[[0.91374737]
 [0.94219027]
 [0.65657944]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",1224,(-) B_Biofilm_Height,0.13707245940532256
11285_x_E.ce,combinatoric,LGBMRegressor,0.07533424800611245,0.04091667562817633,0.07905686007429405,0.04031473594434746,0.09567935643925682,-2.849143687775349,[0.83753665 0.83753665 0.83753665 ... 0.90692671 0.90357156 0.90589984],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,(-) B_Biofilm_Height,0.08550680222268464
11285_x_E.co,combinatoric,LGBMRegressor,0.09070768952728964,0.17004587887904343,0.15914536561106973,0.1484988480639643,0.11213567349594905,0.7745745165455526,[0.44775852 0.44775852 0.44775852 ... 0.85177626 0.85733354 0.85733354],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,(-) B_Biofilm_Height,0.10142168151161934
11285_x_S.en,combinatoric,LGBMRegressor,0.09570182781447362,0.1674360073796739,0.18376504128240853,0.14219702427486358,0.10804773691421653,0.7310067399166411,[0.36260863 0.36260863 0.36260863 ... 0.8747475  0.87609927 0.8747475 ],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,(-) B_Biofilm_Height,0.10187478236434508
11285_x_S.au,combinatoric,LGBMRegressor,0.11469889749012913,0.01929826610536977,0.11730772781252943,0.02392187007889096,0.13021337119905438,-6.664073411183107,[0.94321414 0.92292117 0.94004939 ... 0.87012561 0.86628592 0.86628592],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,(-) B_Biofilm_Height,0.12245613434459175
11457_x_E.ce,combinatoric,LGBMRegressor,0.03916471926525318,0.040588463543626566,0.04673143276605563,0.053275077284676634,0.05466598700329501,0.32551031159435284,[0.91340769 0.91340769 0.91340769 ... 0.88401325 0.88009953 0.88401325],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.92483339]
 [0.85893472]
 [0.90024691]]",2052,(-) B_Biofilm_Height,0.0469153531342741
