Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE,cross_mean
11285_x_S.au,combinatoric,LGBMRegressor,0.11946238195352259,0.020315338947913333,0.1221287314632883,0.025127268542480687,0.15718579345939546,-10.167991474034837,[0.94507767 0.9243695  0.94887032 ... 0.44490348 0.87169879 0.87726389],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,P_Biofilm_Height,0.04148977905718941,0.01565698571483419,0.0285733823860118
11285_x_S.au,combinatoric,LGBMRegressor,0.1166048297260633,0.01839038459175331,0.1192587690615105,0.022833550814758276,0.14468377953695472,-8.462114099960457,[0.94151476 0.94518505 0.94312654 ... 0.86960627 0.87726389 0.87726389],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,P_Biofilm_Volume,0.02898776513474867,0.012799433487374903,0.020893599311061786
11285_x_S.au,combinatoric,LGBMRegressor,0.10881579954310987,0.023634190684838994,0.11146799957994848,0.02898927415993024,0.1263702560263828,-6.218354736525606,[0.95094862 0.93288309 0.94841226 ... 0.87788514 0.87726389 0.87726389],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,P_Biofilm_SubstratumCoverage,0.010674241624176753,0.005010403304421471,0.007842322464299112
11285_x_S.au,combinatoric,LGBMRegressor,0.0922727762836727,0.04703549889328863,0.09420633678589142,0.04636655175734026,0.10491848031926151,-3.9756803596908554,[0.8321886  0.8688478  0.84680189 ... 0.87169879 0.88809657 0.87726389],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836,Modele,-0.010777534082944532,-0.0115326199550157,-0.011155077018980115
11285_x_S.en,combinatoric,LGBMRegressor,0.09483505806676536,0.15208482912496338,0.18276645889282236,0.1158110729433113,0.10497500570041185,0.746088797429364,[0.39111171 0.39913357 0.39111171 ... 0.84578899 0.84539799 0.84578899],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,No Permutation,0.0,0.0,0.0
11285_x_S.en,combinatoric,LGBMRegressor,0.12463240236193075,0.13552560896778632,0.21881843472816673,0.12017308062691642,0.1553338367527316,0.4440417393436329,[0.42853273 0.42769275 0.38032913 ... 0.8655663  0.86517531 0.8655663 ],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,B_Biofilm_Height,0.05035883105231975,0.029797344295165396,0.040078087673742574
11285_x_S.en,combinatoric,LGBMRegressor,0.10005768180011479,0.15188997626507875,0.18928112531091823,0.11560605258971522,0.11363475447938065,0.7024688749280292,[0.39150024 0.40873329 0.37089818 ... 0.59545085 0.66729255 0.59545085],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,B_Biofilm_Roughness,0.008659748778968801,0.005222623733349432,0.006941186256159117
11285_x_S.en,combinatoric,LGBMRegressor,0.10563705177111546,0.15065039322366486,0.190308088951958,0.11440912868049392,0.12615879611211048,0.6332711127972841,[0.39399229 0.39913357 0.46137714 ... 0.79173309 0.7913421  0.79173309],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,B_Biofilm_SubstratumCoverage,0.021183790411698628,0.010801993704350102,0.015992892058024365
11285_x_S.en,combinatoric,LGBMRegressor,0.10783025706787765,0.1724858803786982,0.1978004751894738,0.1536369665725798,0.1273356110892246,0.6263974754103504,[0.35391175 0.37162087 0.35062079 ... 0.59531999 0.84539799 0.59531999],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,B_Biofilm_Volume,0.022360605388812738,0.01299519900111229,0.017677902194962514
11285_x_S.en,combinatoric,LGBMRegressor,0.10045026734404311,0.15208482912496338,0.1918627298576775,0.1158110729433113,0.11401907707172218,0.7004529194903256,[0.39111171 0.39913357 0.39111171 ... 0.84578899 0.84539799 0.84578899],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,P_Biofilm_Height,0.00904407137131033,0.005615209277277752,0.007329640324294041
11285_x_S.en,combinatoric,LGBMRegressor,0.09464665830690996,0.15208482912496338,0.18366212952938996,0.1158110729433113,0.1051466970511626,0.7452575517949078,[0.39111171 0.39913357 0.39111171 ... 0.84578899 0.84578899 0.84578899],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,P_Biofilm_Volume,0.00017169135075074948,-0.0001883997598553927,-8.354204552321609e-06
11285_x_S.en,combinatoric,LGBMRegressor,0.09622038262057131,0.15208482912496338,0.18622838689768448,0.1158110729433113,0.10745677981135505,0.733941160649124,[0.39111171 0.39472498 0.39111171 ... 0.84578899 0.84539799 0.84578899],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,P_Biofilm_SubstratumCoverage,0.002481774110943205,0.0013853245538059528,0.001933549332374579
11285_x_S.en,combinatoric,LGBMRegressor,0.22356097101098563,0.09934346199996906,0.45950155285928845,0.37959733927057565,0.273270196428871,-0.7206581129571545,[0.62536059 0.67093415 0.75017159 ... 0.84578899 0.66520357 0.84578899],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944,Modele,0.16829519072845917,0.12872591294422026,0.1485105518363397
11457,combinatoric,LGBMRegressor,0.10658440672995806,0.1754497365627791,0.14329100895268337,0.6526431755044269,0.14366739912974472,0.5250903788023848,[0.90727653 0.90633172 0.90633172 ... 0.82625017 0.81418087 0.81418087],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094,No Permutation,0.0,0.0,0.0
11457,combinatoric,LGBMRegressor,0.12564872382434317,0.09763737779989178,0.16485783384623,0.27723003296855164,0.1673749500770028,0.3554220724527237,[0.59674238 0.75094282 0.91593992 ... 0.82566172 0.79450931 0.80768567],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094,B_Biofilm_Height,0.02370755094725807,0.019064317094385108,0.02138593402082159
11457,combinatoric,LGBMRegressor,0.1111413112033825,0.15726029344192521,0.14847812101040644,0.6074676656065059,0.1498714177369385,0.48318853438943055,[0.86900883 0.80832957 0.80832957 ... 0.80649631 0.80620778 0.82320467],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094,B_Biofilm_Roughness,0.006204018607193773,0.004556904473424439,0.005380461540309106
